Model,Accuracy,Precision,Recall,F1-Score
CNN,0.3680555555555556,0.2823809581561315,0.3680555555555556,0.3007343641723385
RNN,0.3055555555555556,0.1952400208600017,0.3055555555555556,0.2219474154210346
LSTM,0.3888888888888889,0.3610106889978214,0.3888888888888889,0.3455072126918049
Random Forest,0.6006944444444444,0.610775541286294,0.6006944444444444,0.5921914784263242
SVM,0.7152777777777778,0.7131983479424109,0.7152777777777778,0.7132174646997194
XLS-R Speech Transformer (SOTA),0.3923611111111111,0.34770664761984205,0.3923611111111111,0.32521807769258015
